"Title","Genres","Release Date","Release Country","Movie Rating","Review Rating","Movie Run Time","Plot","Cast","Language","Filming Locations","Budget"
"Gravedigger (2013)"," Horror| Thriller",2013,"USA",,5.6,"75 min","Directed by Doug Bollinger. With Keith Collins, Brandon Ruckdashel, Theresa Galeani, Ron 'Bumblefoot' Thal. A vigilante serial killer is stalking, killing and burying those he has judged guilty and anyone in this corrupt beach town could be next.","Keith Collins|Brandon Ruckdashel|Theresa Galeani|Ron 'Bumblefoot' Thal|Jim Leyritz|Annette Dziamba|April Hunter|Gervase Peterson|Gregg Valentino|Billy Sample|Brian McRae|Gary Garver|Mark Pinkhasovich|Joe Sernio|Emilio Masella","English","New York City, New York, USA",
"Alice: Boy from Wonderland (2015)"," Fantasy| Horror| Mystery| Romance","18-Jul-15","South Korea",,6.6,"122 min","Directed by Eunhee Huh. With Jong-hyeon Hong, So-Min Jung, Yeon-joo Jung, Go-Eun Lee. Hye(Female, 27) has suffered from severe nightmares since she was a child. They actually happens in reality and finally endanger her life. According to a shaman's advice, she decides to return a private resort called 'Wonderland'. It was the summer villa for her family 24 years ago. There are a mysterious and enchanting man, Hwan(24), a beautiful woman, Sue(25), and a white rabbit, Myo-doll, ...","Jong-hyeon Hong|So-Min Jung|Yeon-joo Jung|Go-Eun Lee|Seung-yeon Lee|Michelle Li|Kap-sook Seo","Korean",,
"Grim Reapers (2014)"," Horror| Mystery| Thriller","27-Sep-14","USA","NOT RATED",3.7,"82 min","Directed by Cade Saint. With Ben Friedman, Charlie Friedman, Henry Friedman, Kelsey McDonald. A teenager and his friends become terrorized by dark hooded figures after his father goes missing at a remote house in the woods.","Ben Friedman|Charlie Friedman|Henry Friedman|Kelsey McDonald|Cade Saint|Colton Smallwood|Andrew Wilson Williams|Ryan Patrick Williams","English","Russellville, Alabama, USA","$25,000 "
"A New Beginning (2017)"," Drama| Horror| Thriller",2017,"USA",,,,"Directed by Jason Raphael. The extraordinary story of an undying love that creates an unquenchable killer, who seeks immortality across the ages. A new terror, 300 years in the making.",,"English","Los Angeles County, California, USA",
"Dead End 2 (2016)"," Horror","31-Oct-16","USA","UNRATED",5.7,,"Directed by Jordan F. Ghanma. With Marcus D. Spencer, Vermyttya Erahn, Jordan F. Ghanma, Shalema Meszaro. Just when they thought things were back to normal.","Marcus D. Spencer|Vermyttya Erahn|Jordan F. Ghanma|Shalema Meszaro|Bianca Von Krieg|Cynthia Aileen Strahan|Stephanie Hancock|Anquenitta Williams|Neeru Sehgal|Jeremy Koerner|Julia Heller|Alexandra Heard|Alexa Ponciano|Sabrina Hodge|Larry Kitagawa","English",,"$368,000 "
"Buy Now, Die Later (2015)"," Horror","25-Dec-15","Philippines",,5.3,"118 min","Directed by Randolph Longjas. With Manuel Chua, Cai Cortez, Dennis Corteza, Rayver Cruz. A magical store in Manila gives people items that prove to be the solution to their problems...for a price.","Manuel Chua|Cai Cortez|Dennis Corteza|Rayver Cruz|Lotlot De Leon|Jayson Gainza|Alex Gonzaga|Janine Gutierrez|John Lapus|Vhong Navarro|Markki Stroem|TJ Trinidad","Filipino|Tagalog",,
"Sexual Labyrinth (2017)"," Horror","26-Apr-17","Italy",,,"68 min","Directed by Morgana Mayer. With Giada Davinci, Silvia Lamberti, Francesco Malcom, Fausto Moreno. A mysterious woman is in love with a girl who is kidnapped and taken to a prison where she will live an surreal experience through the pleasure. A passionate tribute to the cinema of Fulci, Joe D'Amato and Luigi Atomico.","Giada Davinci|Silvia Lamberti|Francesco Malcom|Fausto Moreno|Mary Rider|Marta Rot|Stefania Visconti","Italian",,"  €8,000  "
"Croczilla (2012)"," Action| Comedy| Horror| Drama| Thriller","8-Jun-12","China","PG-13",4.2,"90 min","Directed by Lisheng Lin. With Barbie Hsu, Tao Guo, Zhaoqi Shi, Suet Lam. A 36 foot crocodile goes on the rampage in Beijing after being moved from a peaceful Crocodile Farm and onto the menu of a local gangster.","Barbie Hsu|Tao Guo|Zhaoqi Shi|Suet Lam|Xin Xin Xiong|Ding Jia-Li|Purba Rygal|Fang Qing-Zhuo|Wang Jin|Li Qin|Hou Chuan-Gao|Chen Jin|Hwang Yeong-Gwang|Guo Chao","Cantonese","Honshu, Japan",
"Athena (2015)"," Drama| Horror| Thriller",2015,"USA",,6.5,"98 min","Directed by Robert W. Filion. With Matthew Ewald, Vanelle, Mahri Shelton, Michael Melendez. It's about Carl, whose life has crumbled, and who now exists as a shell of a man. His wretched existence is punctuated by the loss of his wife and all of the emotional scarring that has created. It's also about Emily, who is not well herself. She may be slightly schizophrenic and manic depressive, but she's doing fine in general... stable job, active social life. Things could be better, if only ...","Matthew Ewald|Vanelle|Mahri Shelton|Michael Melendez|Patrick G. Keenan|Kristin Jann-Fischer|Jerry Keys|Tim Ross|Robert W. Filion|Mr. Bones McCoy|Lee Miller|Ana Shaw|Tommy Allen Taylor|Nicholas Azarian|Tara-Nicole Azarian","English","Charlotte, North Carolina, USA",
"SOS: Save Our Skins (2014)"," Comedy| Horror","4-Apr-14","USA",,5.4,"98 min","Directed by Kent Sobey. With Sonny Adegboruwa, Tom Bolton, Michael Chwastiak, Tim Cooper. SOS: Save Our Skins is the tale of two hapless British geeks who wake up in New York City only to find that the entire human race has vanished. But as they explore the seemingly empty world before them, Ben and Stephen soon realize they're not alone after all... Juggling sci-fi, comedy and horror, SOS: Save Our Skins sends Ben and Stephen on a desperate journey to find their loved ones, escape ...","Sonny Adegboruwa|Tom Bolton|Michael Chwastiak|Tim Cooper|Chris Hayward|James McDougall|Arcade Riley|Nat Saunders|Peter Serafinowicz|Hannah Spear|Peter Turpin","English",,
"RiffTrax Live: Birdemic - Shock and Terror (2012)"," Comedy| Horror","25-Oct-12","USA",,7.3,"110 min","With Bill Corbett, Kevin Murphy, Michael J. Nelson. The Rifftrax guys riff the shockingly bad movie Birdemic: Shock and Terror","Bill Corbett|Kevin Murphy|Michael J. Nelson","English",,
"Prema Katha Chitram (2013)"," Drama| Horror","7-Jun-13","USA",,7.2,"130 min","Directed by J. Prabhakar Reddy. With Sudheer Babu Posani, Nandita Raj, Praveen, Sapthagiri. Three friends and a stranger go to a house and plan to commit suicide. But later they realize the house is haunted","Sudheer Babu Posani|Nandita Raj|Praveen|Sapthagiri","Telugu",,
"Strasek, der Vampir (1982)"," Horror","1-Jul-14","Switzerland",,3.2,"70 min","Directed by Theodor Boder. Serbia, in the year 1910: Milena Strasek has lived with her 12-year-old son Stefan in a small village since the father abandoned the family shortly after Stefan was born. Many years of uncertainty concerning the man's whereabouts have taken their toll: Milena Strasek falls seriously ill and dies, leaving her son alone in the empty house. The father appears the following night. He has come to take...",,"German",,"  CHF 200,000  "
"Goose Bumps: The Movie (2012)"," Horror","13-Sep-12","Japan",,6.1,"87 min","Directed by Kôichirô Miki. With Mitsuki Tanimura, Haruka Kinami, Aimi Satsukawa, Anna Ishibashi.","Mitsuki Tanimura|Haruka Kinami|Aimi Satsukawa|Anna Ishibashi|Mari Iriki|Yuri Shirahane|Yûki Furukawa|Daisuke Kikuta|Takashika Kobayashi|Miho Miyazaki|Tôru Nomaguchi|Ririne Sasano","Japanese",,
"The Living Dead (2017)"," Action| Horror| Thriller","22-Mar-17","Russia",,1.7,"46 min","Directed by Georgiy Danilov. With Sergey A., Danil Andreev, Georgiy Danilov, Dmitriy Khmelyov.","Sergey A.|Danil Andreev|Georgiy Danilov|Dmitriy Khmelyov|Vladislav Krivenchuk|Viktor Murzikov|Sergey Promzinskiy|Sanek|Sergey Volkov|Oleg Zolotnitskiy","Russian",,"  RUR 460  "
"Pitfire of Hell (2016)"," Comedy| Horror","30-Apr-16","USA",,7.1,,"Directed by Bob East. With Jordan Campbell, Elizabeth Brehob, Samantha Michelle, John East. When college students are each assigned to write a horror story for class, they go deep into the woods for inspiration, only to find more horror, and humor, than they expected.","Jordan Campbell|Elizabeth Brehob|Samantha Michelle|John East|Jason Newlin|Bryan Wilson|Shay Dickerhoff|Raymond Kester|Jason Hignite|Christian Kelly|Brigid Macaulay|Valerie Leon|Conrad Brooks|Stuart Fratkin|Ellie Church",,,
"Demon Legacy (2014)"," Horror","19-May-14","UK","TV-MA",3.4,"93 min","Directed by Rand Vossler. With Matthew Currie Holmes, AnnaMaria Demara, Eileen Dietz, Angelina Lyubomirova. In a remote mountain lodge, five sorority sisters accidentally unleash an unholy entity, and must battle evil and each other to stop it from devouring mankind.","Matthew Currie Holmes|AnnaMaria Demara|Eileen Dietz|Angelina Lyubomirova|Nancy McCrumb|Michelle Nunes|Grant Alan Ouzts|Cortney Palm|John Savage|Kati Sharp|Kate Siegel|Jamie Strange","English","California, USA",
"Ghostfinders (2015)"," Horror","5-May-15","USA",,3.4,"90 min","Directed by Luke Hill. With Mallory Culbert, Luke Hill. A group of television personalities, renowned for their popular show in which they hunt ghosts and other paranormal phenomenon, encounter a real-life haunting which proves to be more dangerous than anything they've portrayed on their show.","Mallory Culbert|Luke Hill","English","USA",
"Hole in the Wall (2014)"," Horror","26-Sep-14","USA","NOT RATED",4.3,"79 min","Directed by Carolyn Baker, Steve Goltz, Greg Johnson. With Blade Braxton, Heather Dorff, Greg Johnson, Matt Kenyon. 7 nightmarish films. A brute shows a local boy hell through his haunted ax, the streets of Madison are stalked by a deranged sexual psychopath, Ed Gein is resurrected as a dentist with a penchant for extraction, the flipside of the American family screams itself to life, and an elicit drug transforms a singer into the angel of death!!! Hole in the Wall brings the nasty underbelly of life right ...","Blade Braxton|Heather Dorff|Greg Johnson|Matt Kenyon|Tom Lodewyck|Rob Michels|Judith O'Dea|Tom Running|Andrew N. Shearer|Alyssa Spangler|Draven Wagner","English","Oshkosh, Wisconsin, USA","$10,000 "
"Bugs (2014)"," Comedy| Horror","10-Oct-14","China",,3.1,"82 min","Directed by Jia Yan. With Yun Jin Cao, Sphinx Ting, Chuan-jun Wang, Zitong Xia.","Yun Jin Cao|Sphinx Ting|Chuan-jun Wang|Zitong Xia|Rui Xiu|Huanshan Xu|Zilin Zhang","Mandarin|English",,"  CNY 50,000,000  "
"Rape Zombie: Lust of the Dead 2 (2013)"," Horror","11-Feb-14","USA","NOT RATED",4.1,"67 min","Directed by Naoyuki Tomomatsu. With Yui Aikawa, Maki Aoyama, Asami, Hiroshi Fujita. After a nuclear attack, a strange virus has turned 90% of the male population of the world into lust-filled zombies. However, in Akihabara, Japan, some males have been found who are uninfected. This small group of healthy men decides to team up with the Zombies to satisfy their own carnal desires. The women survivors must now band together and fight to survive in post-apocalyptic Japan!","Yui Aikawa|Maki Aoyama|Asami|Hiroshi Fujita|Fuzuki|Yutaka Ikejima|Iona|Hiroyuki Kaneko|Saya Kobayashi|Ayumi Kuroki|Riri Kôda|Riko Matsui|Takeshi Nakazawa|Ami Onizuka|Alice Ozawa","Japanese",,
"Crazy Murder (2014)"," Horror","29-Oct-14","USA","TV-MA",5.1,"93 min","Directed by Doug Gerber, Caleb Pennypacker. With Ariela Arnon, Mark Hunt, Kevin Kenny, James Quall. A mentally ill homeless man begins a killing spree on the streets of New York City.","Ariela Arnon|Mark Hunt|Kevin Kenny|James Quall","English","New York City, New York, USA","$5,000 "
"The Returned (2017)",,2017,"USA",,,,"A Horror/Thriller about a young couple, stranded on a country lane, who become trapped in a house filled with ghosts and must escape the ghosts' increasingly violent attempts to force the couple to join them in the afterlife.",,,,
"Astro Zombies: M4 - Invaders from Cyberspace (2012)"," Comedy| Horror| Sci-Fi",2012,"USA",,4.7,"90 min","Directed by Ted V. Mikels. With Sean Morelli, Jaime Preston Lynch, Ted V. Mikels, Foster Boom. Mutant hordes are sent to annihilate mankind.","Sean Morelli|Jaime Preston Lynch|Ted V. Mikels|Foster Boom|Erick Adam|Phillip Afghani|Barry Anderson|Charlene Anderson|Miles Anderson|Scott Blacksher|Brian Burke|Jim Cara|Lisa Cara|Charlie Carlson|Trista Catineau","English","Las Vegas, Nevada, USA",
"Aurora (2016)"," Horror",2016,"Brazil",,,,"Directed by José Eduardo Belmonte. With João Bourbonnais, Humberto Carrão, Juliano Cazarré, Milhem Cortaz. During a house visit, a young couple and a real state agent are surprised by the sudden invasion of an old men and his grand daughter. They broke into the house asking for help and saying they're in danger. The couple decides to help them, however, this might not be the best choice. After sunset the girl transforms herself into a perilous creature turning the couple's night in to a living ...","João Bourbonnais|Humberto Carrão|Juliano Cazarré|Milhem Cortaz|Carolina Dieckmann|Marjorie Estiano|Olívia Torres","Portuguese",,
"Sonyeogoedam (2014)"," Comedy| Horror| Romance| Thriller","2-Jul-14","South Korea",,6.1,"90 min","Directed by In-chun Oh. With So-eun Kim, Jeong-tae Kim, Hye-Rin Han, Doo-Sik Park. A teenager, with the ability to see ghosts, returns to his hometown to face his demons.","So-eun Kim|Jeong-tae Kim|Hye-Rin Han|Doo-Sik Park|Min Ha Ju|Da-Yeong Ju|Jung Wook Kwak|Ah-Hyeon Lee|Choong-seon Park|Yoon-Hong Oh|Young-Choon Kim|Bom Lee|Hy-Jeong|Ro-sa Kim|Yeong-geol Yun","Korean","Gangwon-do, South Korea","$2,000,000 "
"Der Blunzenkönig (2015)"," Comedy| Horror","27-Aug-15","Austria",,5.6,"90 min","Directed by Leo Bauer. With Roman Frankl, Alexander Jagsch, Julia Jelinek, Joseph Lorenz.","Roman Frankl|Alexander Jagsch|Julia Jelinek|Joseph Lorenz|Andreas Lust|Jaschka Lämmert|Inge Maux|Karl Merkatz|Justus Neumann|Angelika Niedetzky|Toni Slama|Raimund Wallisch","German",,
"The Attachment (2016)"," Drama| Horror","3-Jun-16","USA",,3.2,"108 min","Directed by Clement Ofoedu. With Leah Cooper, Duncan Malcolm, Michelle Coverley, Tony Honickberg. An innocent girls world is turned upside-down when an ancient evil begins to stalk her family. An attempt by a religious sect to rid the evil from the family results in catastrophic results that will have far reaching consequences.","Leah Cooper|Duncan Malcolm|Michelle Coverley|Tony Honickberg|Carl Leroy|Camelia Borg|Natalie Layla|Amy Lucas|Natalia Marie|Ben Ofoedu|Daniel Alan|Maria Rita Baglieri|Martin Bailey|Cliff Brown|Steve Carroll","English","Beckton, London, England, UK",
"Tunnel (2014)"," Horror","20-Aug-14","South Korea",,5.2,"86 min","Directed by Park Gyu Taek. With Si-yeon Jeong, Jae-hee Lee, Si-won Lee, Do-hee Min. A group of friends are invited to the launch party of a luxury resort. A strange man barges in, and scares everyone away by declaring that they will all be killed by a curse. They return to the resort to find the strange man watching them, and accidentally end up killing him. They decide to dispose of the body in a coal mine, but get trapped inside the dark tunnels facing the buried horrors ...","Si-yeon Jeong|Jae-hee Lee|Si-won Lee|Do-hee Min|Woo Hee|Byung-ho Son|Ah-rim Kim|Min-ham Sung|Lee Jae Hee|Yu-mi Jeong|Jae-rim Song|Jung Si Yeon|Woo-jin Yeon","Korean",,
"Seklusyon (2016)"," Horror","25-Dec-16","Philippines",,6.8,"90 min","Directed by Erik Matti. With Rhed Bustamante, Neil Ryan Sese, Ronnie Alonte, Lou Veloso. In 1947 those aspiring to be priest, are sent to a remote convent to live in seclusion (Seklusyon) on the last day of their training. The purpose is to shield them from evil of the world. The plot thickens when a mysterious young girl comes to the convent but the question is whether she is really sent by God or by the Evil. This is the challenge awaits the candidates.","Rhed Bustamante|Neil Ryan Sese|Ronnie Alonte|Lou Veloso|Phoebe Walker|Dominic Roque|Elora Españo|John Vic De Guzman|J.R. Versales|Jerry O'Hara|Sherry Lara|Teroy Guzman|Elia Ilano","Filipino|Tagalog",,
"Hollow (2014)"," Drama| Horror| Mystery| Thriller","18-Jul-14","Vietnam",,5.8,"99 min","Directed by Ham Tran. With Kieu Chinh, Jayvee Mai The Hiep, Nguyen Hong An, Ngoc Hiep Nguyen. A young girl falls into a river and drowns. When her body is found in a remote village along the river, her uncle arrives to claim her body, only to find that she is very much alive. But when she returns to her family, unexplainable occurrences lead them to believe she is possessed.","Kieu Chinh|Jayvee Mai The Hiep|Nguyen Hong An|Ngoc Hiep Nguyen|Kate Nhung|Suboi|Lam Thanh My|Son Bao Tran","Vietnamese","Ho Chi Minh City, Vietnam",
"The Demon's Rook (2013)"," Adventure| Fantasy| Horror","13-Oct-13","USA","TV-MA",5.5,"103 min","Directed by James Sizemore. With Ashleigh Jo Sizemore, James Sizemore, John Chatham, Melanie Richardson. A young boy named Roscoe finds a portal to another world where he is taught magic by an elder demon known as Dimwos. Dimwos raises the boy into manhood, revealing to him many secrets.","Ashleigh Jo Sizemore|James Sizemore|John Chatham|Melanie Richardson|Josh Adam Gould|Sade Smith|Dustin Dorough|Stephanie Anderson|Lincoln Archibald|Elizabeth Baker|William Baker|Paul Barton|James Becker|Lindsay Behrens|Michael Bremer","English","Moreland, Georgia","$75,000 "
"Tai Hong 2 (2014)"," Horror","27-Feb-14","Taiwan",,4.9,"109 min","Directed by Poj Arnon, Achira Nokthet, Thanadol Nualsuth. With Pimchanok Leuwisetpaiboon, Pitchaya Nitipaisankul, Ivrin Osathanond, Manatsanun Phanlerdwongsakul.","Pimchanok Leuwisetpaiboon|Pitchaya Nitipaisankul|Ivrin Osathanond|Manatsanun Phanlerdwongsakul|Kunatip Pinpradub|Pharanyu Rojanawuthitham|Padung Songsang|Tanwarin Sukkhapisit|Chaiwat Thongsaeng|Charlie Trairat","Thai",,
"The Binman (2015)"," Horror| Thriller","1-Jan-15","UK",,7.4,,"Directed by Scott Rivers. With Dylan Bevan, Jenna Bickford, Kelsey Bickford, Caitlyn Bryant. Nick Black is a normal everyday binman. However Nick Black has a dark secret.","Dylan Bevan|Jenna Bickford|Kelsey Bickford|Caitlyn Bryant|Alan Dartington|Bella Esposito|Jaya Faux|Julian Godwin|Charlotte Hewins|Lisa Jackson|Tyler Pope|Caitlin Pyne|Alexandra Richards|Scott Rivers|Yasmine Wheaton","English","Ivybridge, Devon, England, UK","  £500  "
"I wish I wish (2016)"," Horror","14-Oct-17","USA",,8.4,,"Directed by Eduardo M. Clorio. With Israel Amescua, Fitzgerald Navarro, Iván Mondragón, Norma Mora.","Israel Amescua|Fitzgerald Navarro|Iván Mondragón|Norma Mora|Karla Rodriguez|Dana Karvelas|Federico Porras Jr.|Sara Montalvo|José María Negri|Fernando Meza|Claudio Landoni|Suzanne Aguilera|Claudio Viveros|Maria Junco|Julio César Guerrero","Spanish","Taxco, Guerrero, Mexico","  MXN 5,000,000  "
